,Mkt-RF,SMB,HML,RMW,CMA,RF
20161117,0.56,0.16,-0.13,0.25,-0.47,0.001
20161118,-0.16,0.57,0.39,-0.19,0.1,0.001
20161121,0.77,-0.26,0.09,-0.04,0.31,0.001
20161122,0.31,0.63,0.59,0.76,0.31,0.001
20161123,0.16,0.58,0.18,-0.27,0.18,0.001
20161125,0.4,-0.07,-0.25,0.22,-0.15,0.001
20161128,-0.64,-0.79,0.06,0.58,-0.34,0.001
20161129,0.11,-0.4,-0.07,0.42,-0.49,0.001
20161130,-0.25,-0.17,2.24,-1.44,1.97,0.001
20161201,-0.36,-0.4,2.04,0.28,0.62,0.001
20161202,0,0,-0.32,-0.03,0.08,0.001
20161205,0.75,1.13,0.28,-0.25,-0.18,0.001
20161206,0.48,0.64,0.23,-0.13,-0.1,0.001
20161207,1.26,-0.5,0.53,0.81,-0.01,0.001
20161208,0.36,1.24,0.59,-0.27,-0.1,0.001
20161209,0.46,-0.36,0.13,-0.12,-0.05,0.001
20161212,-0.3,-0.97,-0.1,-0.06,0.07,0.001
20161213,0.6,-0.57,-0.28,0.02,-0.17,0.001
20161214,-0.82,-0.38,-0.28,0.44,-0.52,0.001
20161215,0.46,0.45,0.28,0.04,0.05,0.001
20161216,-0.22,-0.03,-0.42,-0.17,0,0.001
20161219,0.22,0.32,0.09,0.27,0.04,0.001
20161220,0.44,0.5,0.68,0.09,0.07,0.001
20161221,-0.24,-0.35,0.23,0.14,0.06,0.001
20161222,-0.3,-0.77,0.24,-0.23,0.06,0.001
20161223,0.19,0.53,-0.51,-0.28,-0.14,0.001
20161227,0.27,0.23,0.13,0.19,0.03,0.001
20161228,-0.87,-0.31,0.09,0.12,-0.16,0.001
20161229,-0.04,0.09,-0.31,0.26,0.05,0.001
20161230,-0.52,-0.05,0.2,-0.14,0.06,0.001
20170103,0.83,-0.09,0.08,-0.17,0.27,0.002
20170104,0.79,0.97,-0.15,-0.32,-0.03,0.002
20170105,-0.21,-0.99,-0.8,-0.08,-0.09,0.002
20170106,0.29,-0.7,-0.31,-0.23,-0.29,0.002
20170109,-0.37,-0.31,-1.04,0.24,-0.52,0.002
20170110,0.16,1.02,0.56,-0.1,0.06,0.002
20170111,0.31,-0.23,0.53,0.14,0.28,0.002
20170112,-0.3,-0.65,-0.88,0.05,-0.29,0.002
20170113,0.29,0.62,-0.08,-0.22,-0.15,0.002
20170117,-0.49,-0.97,-0.59,0.53,0.42,0.002
20170118,0.24,0.21,0.24,-0.07,-0.1,0.002
20170119,-0.38,-0.53,-0.04,-0.01,-0.03,0.002
20170120,0.33,0.08,0.19,0.07,-0.01,0.002
20170123,-0.29,-0.05,-0.31,0.45,-0.37,0.002
20170124,0.83,0.79,0.81,-0.15,0.5,0.002
20170125,0.84,0.2,0.36,-0.26,-0.14,0.002
20170126,-0.1,-0.58,0.38,-0.12,-0.17,0.002
20170127,-0.12,-0.04,-0.66,0.11,0.07,0.002
20170130,-0.68,-0.74,-0.42,0.58,-0.15,0.002
20170131,0,0.82,-0.55,-0.41,-0.21,0.002
20170201,0.04,-0.05,0.03,0.25,-0.25,0.002
20170202,-0.02,-0.32,-0.31,-0.24,0.2,0.002
20170203,0.82,0.66,0.64,-0.46,0.35,0.002
20170206,-0.27,-0.61,-0.2,0.08,-0.21,0.002
20170207,-0.01,-0.38,-0.52,0.43,-0.23,0.002
20170208,0.06,-0.28,-0.53,0.34,-0.11,0.002
20170209,0.72,0.73,0.02,-0.27,0.03,0.002
20170210,0.38,0.39,0.12,-0.02,0.16,0.002
20170213,0.49,-0.28,0.32,-0.04,0.05,0.002
20170214,0.45,-0.16,0.33,-0.44,-0.07,0.002
20170215,0.54,0.15,-0.44,0.29,-0.08,0.002
20170216,-0.16,-0.21,-0.03,0.25,-0.22,0.002
20170217,0.2,-0.06,-0.57,0.06,-0.38,0.002
20170221,0.6,0.04,0.13,0.34,0.35,0.002
20170222,-0.15,-0.39,0.11,0.44,-0.34,0.002
20170223,-0.11,-0.73,0.26,-0.28,-0.45,0.002
20170224,0.15,-0.1,-0.92,0.31,-0.21,0.002
20170227,0.22,0.85,-0.34,-0.35,-0.11,0.002
20170228,-0.42,-1.35,0.2,-0.02,-0.14,0.002
20170301,1.47,0.53,0.72,-0.51,0.55,0.001
20170302,-0.7,-0.56,-0.88,0.53,-0.47,0.001
20170303,0.09,-0.16,0.13,0.02,-0.08,0.001
20170306,-0.38,-0.41,-0.1,-0.01,0,0.001
20170307,-0.36,-0.35,-0.05,0.08,-0.25,0.001
20170308,-0.19,-0.17,-0.82,0.5,-0.73,0.001
20170309,0.04,-0.51,-0.27,-0.54,-0.16,0.001
20170310,0.34,0.07,-0.38,0.27,0.02,0.001
20170313,0.13,0.33,-0.03,-0.08,0.06,0.001
20170314,-0.36,-0.23,0.02,0.46,-0.25,0.001
20170315,0.86,0.72,-0.41,-0.09,0.55,0.001
20170316,-0.06,0.44,0.24,-0.11,-0.38,0.001
20170317,-0.08,0.55,-0.26,0.13,-0.02,0.001
20170320,-0.25,-0.16,-0.75,-0.12,-0.03,0.001
20170321,-1.48,-1.41,-0.69,0.78,0.29,0.001
20170322,0.16,-0.33,-0.54,0.16,-0.13,0.001
20170323,-0.03,0.74,0.46,-0.06,0.19,0.001
20170324,-0.05,0.11,-0.23,-0.24,-0.32,0.001
20170327,-0.05,0.47,-0.52,-0.18,-0.28,0.001
20170328,0.72,-0.06,0.71,0.02,0.38,0.001
20170329,0.18,0.34,-0.06,-0.19,0.13,0.001
20170330,0.36,0.4,0.92,-0.16,-0.15,0.001
20170331,-0.16,0.55,-0.3,0.16,0.08,0.001
20170403,-0.28,-1.15,-0.11,-0.17,-0.07,0.003
20170404,0.05,-0.24,0.31,-0.1,0.18,0.003
20170405,-0.44,-0.83,-0.31,0.38,-0.09,0.003
20170406,0.32,0.75,0.5,-0.12,0.37,0.003
20170407,-0.08,0.09,-0.26,0.01,-0.04,0.003
20170410,0.08,0.15,0.1,0.2,0.48,0.003
20170411,-0.05,0.8,0.25,0.18,0.19,0.003
20170412,-0.49,-0.95,-0.54,-0.06,-0.54,0.003
20170413,-0.75,-0.33,-0.79,0.04,-0.35,0.003
20170417,0.89,0.29,0.22,0.1,-0.15,0.003
20170418,-0.25,0.31,-0.16,0.33,0.1,0.003
20170419,-0.08,0.56,-0.39,0.38,-0.85,0.003
20170420,0.83,0.58,0.27,0.24,-0.19,0.003
20170421,-0.28,0.06,-0.14,0.4,-0.2,0.003
20170424,1.18,0.27,0.51,-0.02,0.15,0.003
20170425,0.66,0.39,-0.05,-0.3,0.3,0.003
20170426,0.04,0.74,0.31,0.2,0.01,0.003
20170427,0.05,-0.2,-0.96,0.31,-0.59,0.003
20170428,-0.3,-0.74,-0.6,0.07,-0.21,0.003
20170501,0.21,0.26,-0.13,-0.1,-0.51,0.003
20170502,0.03,-0.46,-0.21,0.41,-0.33,0.003
20170503,-0.19,-0.52,0.2,-0.05,0.13,0.003
20170504,0.02,-0.12,-0.36,0.4,-0.7,0.003
20170505,0.46,0.09,0.05,-0.22,0.66,0.003
20170508,-0.04,-0.24,0.28,0.09,0.05,0.003
20170509,-0.05,0.4,-0.78,0.37,-0.37,0.003
20170510,0.21,0.25,0.02,-0.25,0.36,0.003
20170511,-0.26,-0.41,-0.15,-0.32,-0.01,0.003
20170512,-0.18,-0.37,-0.61,-0.23,-0.33,0.003
20170515,0.53,0.26,0.2,-0.3,0.05,0.003
20170516,-0.03,0.11,-0.09,-0.22,-0.14,0.003
20170517,-1.97,-0.99,-0.54,0.5,0.3,0.003
20170518,0.4,0.01,-0.39,-0.29,-0.61,0.003
20170519,0.7,-0.34,0.4,-0.03,0.79,0.003
20170522,0.56,0.24,-0.3,-0.05,-0.32,0.003
20170523,0.18,0,0.61,-0.26,0.07,0.003
20170524,0.24,-0.21,-0.49,0.21,-0.31,0.003
20170525,0.42,-0.35,-0.77,0.63,-0.64,0.003
20170526,0.06,-0.02,0.09,0.18,0.15,0.003
20170530,-0.19,-0.54,-0.32,0.61,-0.03,0.003
20170531,-0.02,-0.05,-0.56,0.26,-0.09,0.003
20170601,0.95,1,0.03,-0.16,0.04,0.003
20170602,0.35,0.43,-0.77,0.27,-0.48,0.003
20170605,-0.17,-0.46,0,-0.19,0.01,0.003
20170606,-0.28,0.11,-0.06,-0.51,0.36,0.003
20170607,0.15,-0.14,0.01,0.53,-0.69,0.003
20170608,0.18,1.21,0.92,-0.7,-0.03,0.003
20170609,-0.12,0.26,2.37,-0.32,1.13,0.003
20170612,-0.11,-0.19,0.36,-0.02,0.61,0.003
20170613,0.55,0.06,-0.14,-0.24,-0.08,0.003
20170614,-0.17,-0.55,-0.55,0.11,-0.52,0.003
20170615,-0.3,-0.3,-0.12,0.02,-0.07,0.003
20170616,-0.03,-0.26,-0.18,-0.49,0.14,0.003
20170619,0.86,0.11,-0.74,-0.02,-0.09,0.003
20170620,-0.73,-0.44,-0.51,-0.23,-0.25,0.003
20170621,-0.07,-0.21,-1.68,-0.1,-1.15,0.003
20170622,0.02,0.47,-0.42,-0.1,-0.04,0.003
20170623,0.24,0.75,-0.5,-0.33,0.04,0.003
20170626,0.04,0.07,0.68,0.26,0.18,0.003
20170627,-0.84,-0.22,1.32,0.29,0.33,0.003
20170628,1.02,0.8,0.22,-0.16,-0.08,0.003
20170629,-0.83,0.07,1.38,-0.26,0.36,0.003
20170630,0.14,-0.1,-0.25,0.21,0.29,0.003
20170703,0.24,0.43,1.2,-0.63,0.65,0.004
20170705,0.12,-0.69,-0.55,0.19,-0.68,0.004
20170706,-0.95,-0.44,0.12,0.21,-0.01,0.004
20170707,0.7,0.41,-0.41,0.24,-0.51,0.004
20170710,0.05,-0.44,-0.09,-0.09,-0.1,0.004
20170711,0,0.3,-0.53,-0.35,0.15,0.004
20170712,0.72,0.06,-0.53,0.16,-0.23,0.004
20170713,0.17,-0.01,0.37,0,0.21,0.004
20170714,0.42,-0.22,-0.5,0.22,0.04,0.004
20170717,0,0.22,0.13,0.16,0.07,0.004
20170718,0.04,-0.35,-0.33,0.08,-0.42,0.004
20170719,0.59,0.47,0.04,-0.27,0.13,0.004
20170720,-0.01,0.04,-0.01,0.09,-0.23,0.004
20170721,-0.08,-0.42,-0.28,0.12,-0.29,0.004
20170724,-0.03,0.12,-0.2,-0.23,-0.39,0.004
20170725,0.38,0.43,0.92,-0.24,0.7,0.004
20170726,-0.06,-0.46,-0.7,-0.19,0.04,0.004
20170727,-0.14,-0.66,0.43,0.19,0.41,0.004
20170728,-0.17,-0.07,0.23,-0.18,0.18,0.004
20170731,-0.11,-0.25,0.44,-0.06,0.14,0.004
20170801,0.24,-0.18,0.18,0.22,-0.47,0.004
20170802,-0.08,-1.15,0.16,0.05,-0.34,0.004
20170803,-0.21,-0.34,-0.29,0.3,-0.28,0.004
20170804,0.25,0.34,0.36,-0.07,0.02,0.004
20170807,0.16,-0.11,-0.59,0.25,-0.37,0.004
20170808,-0.24,-0.11,0.21,-0.34,-0.15,0.004
20170809,-0.14,-0.81,-0.12,0.11,0.04,0.004
20170810,-1.49,-0.32,0.24,0.25,0.12,0.004
20170811,0.2,0.18,-0.86,0.42,-0.11,0.004
20170814,1.03,0.29,0.05,0.01,-0.43,0.004
20170815,-0.11,-0.86,-0.03,-0.17,-0.26,0.004
20170816,0.18,-0.14,-0.45,0.36,-0.13,0.004
20170817,-1.59,-0.18,-0.16,-0.06,0.12,0.004
20170818,-0.15,0.14,0.21,-0.26,-0.01,0.004
20170821,0.06,-0.28,-0.22,0.21,-0.09,0.004
20170822,1.07,-0.02,-0.25,-0.2,0.12,0.004
20170823,-0.32,0.13,0.41,-0.49,0.1,0.004
20170824,-0.14,0.58,0.18,-0.45,0.09,0.004
20170825,0.18,0.16,0.57,0.1,0.24,0.004
20170828,0.08,0.32,-0.74,0.23,-0.19,0.004
20170829,0.1,0.09,-0.39,0.06,0.09,0.004
20170830,0.53,0.02,-0.31,0.17,-0.45,0.004
20170831,0.62,0.4,-0.42,-0.26,-0.09,0.004
20170901,0.27,0.43,0.45,-0.08,0.36,0.005
20170905,-0.81,-0.02,-0.96,-0.04,0.53,0.005
20170906,0.28,-0.01,0.13,-0.3,0.09,0.005
20170907,-0.07,0.01,-0.94,0.03,0.07,0.005
20170908,-0.16,0.13,0.36,0.22,-0.14,0.005
20170911,1.08,-0.09,0.63,-0.41,-0.11,0.005
20170912,0.43,0.34,0.71,0.07,0.18,0.005
20170913,0.11,0.3,0.36,-0.39,0.09,0.005
20170914,-0.12,-0.05,-0.06,-0.35,0.23,0.005
20170915,0.19,0.24,0.12,0.23,0.01,0.005
20170918,0.24,0.41,0.21,-0.47,0.2,0.005
20170919,0.15,-0.21,0.35,0.03,0.07,0.005
20170920,0.16,0.27,0.5,-0.2,0.29,0.005
20170921,-0.28,0.17,0.37,0.01,-0.08,0.005
20170922,0.12,0.44,0.13,0.38,0.28,0.005
20170925,-0.25,0.33,0.63,-0.36,0.65,0.005
20170926,0.05,0.45,0.13,0.57,-0.12,0.005
20170927,0.63,1.42,0.18,-0.26,-0.52,0.005
20170928,0.13,0.16,-0.07,-0.11,-0.19,0.005
20170929,0.35,-0.11,-0.28,-0.03,-0.35,0.005
20171002,0.5,0.87,0.16,-0.25,0.26,0.004
20171003,0.26,-0.02,-0.02,0.03,-0.11,0.004
20171004,0.05,-0.34,-0.44,-0.05,0,0.004
20171005,0.55,-0.31,0.35,-0.24,-0.17,0.004
20171006,-0.08,-0.09,-0.25,0.19,-0.36,0.004
20171009,-0.22,-0.3,-0.04,0.11,-0.17,0.004
20171010,0.24,0,0.42,0.04,0.08,0.004
20171011,0.16,-0.26,-0.21,-0.09,-0.06,0.004
20171012,-0.18,-0.1,-0.51,0.21,0.11,0.004
20171013,0.04,-0.28,0.1,0.23,0.01,0.004
20171016,0.17,-0.26,0.36,0.03,-0.08,0.004
20171017,0.01,-0.37,-0.32,0.36,-0.22,0.004
20171018,0.14,0.36,0.21,0.32,-0.14,0.004
20171019,0.02,-0.34,0.17,0.13,0.04,0.004
20171020,0.57,0.01,0.28,0.08,0.04,0.004
20171023,-0.45,-0.38,0.12,0.25,-0.26,0.004
20171024,0.2,-0.09,0.47,0.05,-0.14,0.004
20171025,-0.51,0.01,0.11,0.25,-0.43,0.004
20171026,0.2,0.05,0.22,0.1,-0.17,0.004
20171027,0.82,-0.06,-1,0.13,-1.32,0.004
20171030,-0.46,-0.75,-0.05,-0.55,-0.41,0.004
20171031,0.23,0.76,-0.22,-0.17,0.22,0.004
20171101,0.05,-0.8,0.14,-0.06,-0.08,0.004
20171102,0.06,0,0.5,-0.25,0.34,0.004
20171103,0.31,-0.52,-0.66,-0.16,-0.15,0.004
20171106,0.06,0.16,0.19,-0.57,0.04,0.004
20171107,-0.2,-1.42,-0.39,0.43,-0.03,0.004
20171108,0.12,-0.02,-0.62,0.62,-0.01,0.004
20171109,-0.41,0,0.22,-0.04,0.08,0.004
20171110,0.01,0.05,-0.38,0.16,0.15,0.004
20171113,0.09,-0.29,0.02,0.08,-0.74,0.004
20171114,-0.22,-0.07,0,0.96,-0.41,0.004
20171115,-0.52,0.04,0.24,-0.09,0.15,0.004
20171116,1.01,0.79,-0.52,0.57,0.34,0.004
20171117,-0.14,0.73,0.29,-0.18,0.35,0.004
20171120,0.21,0.63,0.01,0.26,0,0.004
20171121,0.67,0.35,-0.36,0.03,-0.62,0.004
20171122,-0.05,0.08,-0.04,-0.25,0.16,0.004
20171124,0.21,0.01,-0.44,0.05,-0.08,0.004
20171127,-0.06,-0.31,0.03,0.6,-0.1,0.004
20171128,1.06,0.56,0.84,0.33,0.02,0.004
20171129,0.02,0.29,1.45,0.69,0.59,0.004
20171130,0.82,-0.61,-0.5,-0.25,0.03,0.004
20171201,-0.22,-0.33,0.36,-0.42,0.32,0.004
20171204,-0.1,-0.15,1.22,0.93,0.56,0.004
20171205,-0.43,-0.46,-0.24,0.24,-0.11,0.004
20171206,-0.09,-0.5,-0.51,0.43,-0.51,0.004
20171207,0.42,0.28,-0.17,-0.17,0.07,0.004
20171208,0.51,-0.43,-0.14,-0.05,0.06,0.004
20171211,0.26,-0.42,-0.15,-0.07,0.08,0.004
20171212,0.07,-0.45,0.52,0,0.09,0.004
20171213,0.02,0.63,-0.88,0.29,-0.06,0.004
20171214,-0.47,-0.75,-0.22,-0.1,-0.12,0.004
20171215,0.92,0.68,0.03,0.32,-0.5,0.004
20171218,0.67,0.81,0.26,0.18,0.16,0.004
20171219,-0.3,-0.35,-0.26,0.15,0.38,0.004
20171220,0.01,0.38,0.05,-0.18,0.27,0.004
20171221,0.24,0.31,0.62,-0.71,0.31,0.004
20171222,-0.07,-0.19,-0.2,-0.05,0.21,0.004
20171226,-0.07,0.31,-0.06,-0.17,0.56,0.004
20171227,0.05,-0.16,-0.19,0.06,-0.12,0.004
20171228,0.22,0.1,0.03,-0.09,-0.2,0.004
20171229,-0.57,-0.3,0.02,0.18,0.14,0.004
